DID,Country,City,Province,Account,Perminut,Inital Increment,Increment,Setup,Month,Call Type,Destination,,
524499950223,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950224,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950225,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950226,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950227,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950228,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950229,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950230,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950231,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950232,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950233,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950234,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950235,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950236,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950237,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950238,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950239,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950240,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950241,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950242,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950243,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950244,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950245,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950246,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950247,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950248,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950249,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950250,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950251,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950252,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950253,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950254,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950255,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950256,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950257,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950258,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950259,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950260,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950261,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
